hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
-0.2753,-0.0288,0.5028,0.7245,0.0262,0.5028,0.5659,1.4232,0.1043,-0.3708,-1.0595,-0.781,-0.8177,-1.3945,-0.7927,-1.163,-0.7969,8,0.26,10,0.62,2005,8,1
-0.1498,-0.2991,0.0243,0.1552,0.3009,0.0243,0.0653,0.9325,0.3045,0.4704,-1.0625,-0.8155,-0.8229,-1.4488,-0.8002,-1.1881,-0.6297,11,0.78,23,0.95,2005,8,2
0.2434,-0.3057,-0.1563,-0.021,-0.1935,-0.1563,-0.0526,0.9863,-0.1376,-1.2485,-1.0051,-1.3259,-1.3013,-1.4479,-1.3393,-1.1352,-0.5518,5,0.08,4,0.26,2005,8,3
-0.0262,0.5684,0.7401,0.9034,-0.348,0.7401,0.7729,1.0125,-0.2717,-1.8552,-0.9796,-1.2681,-1.3864,-1.4567,-1.3542,-1.1112,-0.134,8,0.11,13,0.36,2005,8,4
-0.6686,0.8331,1.3121,1.6694,-0.3189,1.3121,1.3294,1.3897,-0.272,-1.7212,-0.9343,-1.2337,-1.3133,-1.4386,-1.2847,-1.0626,-0.0241,4,0.14,0,0,2005,8,5
-1.4773,0.7338,1.2186,1.587,-0.0848,1.2186,1.41,2.0432,0.0875,-1.6365,-0.9383,-1.5237,-1.3776,-1.4191,-1.3789,-1.0601,-0.2815,9,0.44,6,0.19,2005,8,6
-1.6149,0.6667,1.1803,1.61,1.8117,1.1803,1.2003,1.8144,1.5504,-1.5691,-0.9113,-1.1294,-1.088,-1.4398,-1.0785,-1.0401,-0.4929,5,0.17,0,0,2005,8,7
-1.5159,0.2981,0.7014,1.3602,2.9403,0.7014,0.6937,2.11,3.5045,-0.8301,-0.9545,-1.3144,-1.2535,-1.468,-1.2518,-1.1028,-1.0084,5,0.14,16,1.29,2005,8,8
-1.8426,-0.3897,0.5399,1.5192,0.7993,0.5399,0.5178,1.8324,1.2076,-1.1593,-0.9394,-1.5444,-1.3272,-1.4915,-1.3806,-1.102,-1.8155,3,0.06,21,1.67,2005,8,9
-1.2511,-0.3398,0.0201,0.5343,0.7059,0.0201,0.2216,1.5381,1.3222,-0.8744,-0.9111,-1.2742,-1.0768,-1.4871,-1.1178,-1.077,-1.2322,20,0.76,3,0.3,2005,8,10
-0.3125,0.0405,0.1758,0.1963,-0.325,0.1758,0.2254,0.7677,-0.2502,-0.8511,-0.8729,-1.1009,-1.0545,-1.466,-1.0217,-1.0332,-0.4321,25,1.03,25,0.59,2005,8,11
-0.352,0.0849,0.1733,0.1517,-0.5163,0.1733,0.123,0.144,-0.4888,-0.1129,-0.847,-0.0394,-0.0662,-1.4543,0.0774,-1.0005,0.1119,11,0.32,7,0.53,2005,8,12
0.0206,-0.5199,-0.771,-0.7829,1.9319,-0.771,-0.6339,0.1212,1.338,0.7115,-0.8208,-0.5569,-0.5932,-1.4445,-0.4673,-0.9752,-0.2998,14,0.83,38,2.09,2005,8,13
-0.151,-0.6357,-0.6621,-0.5738,-0.1412,-0.6622,-0.5675,0.1889,-0.2233,-0.1211,-0.8427,-1.1163,-1.1128,-1.4627,-1.0507,-1.0154,-0.6618,7,0.32,5,0.31,2005,8,14
-1.4903,-0.8455,-0.707,-0.026,3.064,-0.7071,-0.7928,1.4012,3.2351,-1.2756,-0.9378,-1.876,-1.8101,-1.4643,-1.7738,-1.105,-1.5364,1,0.02,1,0.01,2005,8,15
-1.9357,-1.2943,-0.7948,-0.0473,1.3622,-0.7948,-0.7618,1.7324,0.8756,-1.1323,-0.986,-1.7635,-1.7016,-1.4588,-1.5974,-1.1499,-1.5995,1,0.01,3,0.08,2005,8,16
-0.5011,-0.8638,-0.6112,-0.2493,-0.1476,-0.6112,-0.5643,0.941,-0.1738,-0.4725,-0.9678,-0.9799,-1.1492,-1.4183,-0.9019,-1.1204,-0.4353,13,0.75,3,0.1,2005,8,17
0.1567,-0.9454,-0.6875,-0.3008,-0.2111,-0.6875,-0.7188,0.4056,-0.2053,0.2744,-0.9208,-0.399,-0.595,-1.3728,-0.2391,-1.0591,-0.1434,0,0,6,0.13,2005,8,18
